sentence_id,sentence
1,"كيف ساهمت السياسة الأميركية المستندة إلى رؤية سعودية في سوء فهم أمريكا لليمن وتعثرها هناك ؟ "" ليس لدى الولايات المتحدة سياسة تجاه اليمن "" ولكن هذا ليس مفاجئا : الولايات المتحدة لم يكن لديها سياسة خاصة تجاه اليمن قط ."
2," ما لديها – وما كان لديها – هو سياسة تجاه السعودية تملي عليها أفعالها في اليمن ."
3," بالنسبة للولايات المتحدة ، اليمن بلد ملحق ، وبالتالي يمكن الاستعانة بوكلاء خارجيين للتعامل معه كونه بلد صغير كما أنه ليس مهما بما فيه الكفاية ."
4," ولكن طبعاً ، من وقت لآخر ، هناك لحظات مأزومة تتطلب اهتمامًا أكثر من صناع السياسات في الولايات المتحدة ، "" فمثلا ، بعد هجمات 11 سبتمبر 2001 ، كان ينظر إلى اليمن في المقام الأول على أنه مشكلة تتعلق بمكافحة الإرهاب ، وبالتالي بحاجة إلى حل ."
5," أما مؤخراً ، فينظر إليه ضمن سياق الجهود الأمريكية لمواجهة إيران ."
6," ولكن في كلتا الحالتين ، كانت الولايات المتحدة والسعودية تسيران بإيقاع موحد ."
7," في أوائل العام 2000 ، كانت المملكة العربية السعودية تواجه مشكلتها مع تنظيم القاعدة ."
8,"وخلال السنوات القليلة الماضية ، اعتبرت المملكة السعودية إيران منافسها الإقليمي الرئيسي ، وغالبًا ما شجعت الولايات المتحدة على اتخاذ موقف أكثر تشددًا تجاه إيران ."
9," إن المشكلة في رؤية بلد ، أي بلد ، من خلال عدسة واحدة – سواء من خلال منظور شريك إقليمي أو ضمن سياق تحد للأمن القومي – هي أن ذلك يميل إلى تشويه الواقع على الأرض ، وبالتالي إلى التضحية بالفروق الدقيقة مقابل سردية مبسطة ."
10," وهذا يؤدي إلى أخطاء في التحليل ، ونتيجة له إلى خيارات سياسية رديئة ."
11," على سبيل المثال ، رؤية اليمن فقط من خلال عدسة مكافحة الإرهاب ، تؤدي إلى استنتاج مفاده أن أي شخص ملتح يحمل السلاح ويتحدث عن الله هو عضو في تنظيم القاعدة في شبه الجزيرة العربية أو تنظيم الدولة الإسلامية ."
12," لكن هذا ليس هو الحال في اليمن ، والاعتقاد عكس ذلك يؤدي إلى هجمات درونز خاطئة وعقوبات أسيء تطبيقها ."
